Name,Dominant Topic, Percentage of Positive Sentiment,Review Quality Index,Comment,Speciality,Number of Review,Bayesian Adjusted Rating
Dr. Claudia M. Cooke,Punctuality,1,0.90111589,"Dr. Cooke is a rare find among physicians. She understands that she is there to help another human being experience his or her very best possible physical well being. She applies her full range of knowledge, wisdom, and vast network of experts towards this goal.",Internist / Geriatrician,5,4.019047619
Dr. Claudia M. Cooke,Staff,0.666666667,0.886827438,"Helpful, compassionate doctor who spends a lot of time with her patients and treats the whole person.",Internist / Geriatrician,5,4.019047619
Dr. Clifford Stark,Punctuality,0.5,0.208325502,"Dr. Clifford Stark has been my primary care provider (pcp) for almost ten years. You will not find a more caring, knowledgeable and dedicated physician. Dr. Stark is double board-certified in family medicine and sports medicine. It is incredibly convenient to have a doctor who can address both medical issues and sports-related injuries. Dr. Stark shares his knowledge of sports medicine by having medical residents and fellows rotate at his practice in Chelsea. The staff at Dr. Stark's office are professionals of the highest order. My medical insurance plan requires that I receive a referral from my pcp before I can consult with a medical specialist. Whenever I have needed to see a specialist, Dr. Stark's staff promptly completed the necessary form, faxed it to the specialist's office and sent me a copy of the referral. Twice due to an urgent health issue, I recall having called Dr. Stark's office after office hours. Each time Dr. Stark immediately called me back, spoke to me and prescribed a medication. He then called in the prescription to my pharmacy. I have referred colleagues, family and friends to Dr. Stark and will continue to do so.",Family Doctor / G.P.,5,4
Dr. Clifford Stark,Staff,1,0.101321731,"listens carefully to explanation of concerns,very sincere, concerned, thorough and realistic",Family Doctor / G.P.,5,4
Dr. Curtis M. Johnson,Punctuality,1,0.130632123,"Cannot recommend for orthodontic work/braces; he treated me with Invisilign and after spending thousands, the results were terrible. My teeth began to return to their old crookedness; having enough I saw a few real orthodontists who explained the many weaknesses of Invisilign, that traditional braces almost always produce longer lasting better results, and how metal braces should be used after Invisilign always. I now have metal braces and am happy. Johnson, like a good salesman, never warned me, and never offered to put metal braces at the end. He can’t install metal braces anyhow because he is not an actual orthodontist; Johnson is a general dentist who only took some classes from Invisilign, so he will always recommend Invisilign. Johnson and some staff were also rude and condescending. Was charged nearly 10% interest on the monthly payments?! Prices for non-invisilign work fluctuated by over 200%. WARNING! Go to an orthodontic specialist for an unbiased opinion, not Dr. Johnson.",Dentist,8,4.00462963
Dr. Curtis M. Johnson,Konwledge,1,0.05418764,"this was a great experience for me , my surgeon was out on vacation for a week and I had extreme swelling and pain, I went on google found this place it was open on a saturday so dat was great.I gave em a call asked them a few questions and decided to try it out, I was in there at 9:15 and by 10:20 my procedure was done I couldn't beleive how fast it was, they removed 2 wisdom teeth , I had no insurance so I had to pay out of pocket but they a had a great prices and for it to be done so fast was priceless.the staff great everyone has such a great positive attitude answered all my questions and definitly cared bout me for the time I was there, even calld me when I left to make sure I was ok, I definitely recommend this dentistry for anyone.",Dentist,8,4.00462963
Dr. Curtis M. Johnson,Staff,1,0.1308165,"Dr. Johnson and his staff are great, every time i go in the office with pain i leave with a smile, they make me feel confortable and they have a good sence of humor which allows me to relax and get whatever i need done, they treat me as if i family and i love that, there is never a dull moment when i step into the office,they are very honest and humble, and i would have much prefered to have had invisalign with them instead of braces, because i see other patients with invisalign and i have not heard a complaint, i really recomment invisalign and Dr. Johnson if you want great service",Dentist,8,4.00462963
Dr. D. Steenkamp,Punctuality,0.875,0.31841109,This man is the bomb...he has been the first doctor who for me has taken the time to find out what is going on and help...maybe its because he is young and take the time to learn but in general i think its because he is one of the rare doctors out there today who care about their patients and wants to succeed in his career...thank you for all you've done for me this past year.,Family Doctor / G.P.,14,4.092105263
Dr. D. Steenkamp,Staff,1,0.185526278,I am a diabetic and Dr. Steenkamp has given me wonderful care. He explains things so the layman can understand them.,Family Doctor / G.P.,14,4.092105263
Dr. Daniel B. Polatsch,Punctuality,0.791666667,0.904454383,Staff is rude and they will make you wait for hours. Don't go if you have any other choice. Dr. Is fine if you can see him.,Orthopedic Surgeon,38,4.190217391
Dr. Daniel B. Polatsch,Konwledge,0.875,0.917004041,DR. Polatsch is awesome. He performed surgery on my wrist due to De Quervain's. I am grateful to him. He is a gifted surgeon.,Orthopedic Surgeon,38,4.190217391
Dr. Daniel B. Polatsch,Staff,0.833333333,0.731169669,"DR. DANIEL POLATSCH IS AMAZING!! I feel so lucky to have found Dr. Polatsch that I have been inspired to write my first online review EVER and I plan to add it to as many review sites as possible. Dr. Polatsch has a very rare combinations of qualities: clinical excellence (he teaches other specialists in his field), charitable (among other things, he is a founding member of the Laurence Polatsch Memorial Fund in memory of his brother who was lost on September 11th), compassionate, funny and not even the least bit nerdy. One must meet Dr. Polatsch to truly understand how fantastic he is but an quick look at his profile online is a helpful in getting to know what he is all about http://www.handsurgeryny.com/physicians-drpolatsch.html . Dr. Polatsch did surgeries on both of my hands and two fingers and the results exceeded my expectations. Both he and his staff were very helpful and patient when it came to answering my many questions and they also were very kind and caring which helped calm my nervousness about having surgeries. Lukasz, his assistant, seems to be everywhere Dr. Polatsch is and is extremely warm and professional. Abbie, his office manager, is extremely efficient and helpful with scheduling appointments. Overall, my experience with Dr. Polatsch and his staff was exceptional and I can not sing their praises enough!",Orthopedic Surgeon,38,4.190217391
Dr. Daniel E. Wank,Punctuality,0.285714286,0.945943233,"I have had fine service from Dr. Wank, Marcie and the staff. I have been a patient for over a dozen years, am happy to give them my business, and the long term employees/relationships speak to the quality for me. I've never suffered any pain or infection, and it has not been too expensive. Since my parents were never so lucky with their dental health, I know how fortunate I am to have good care, and share the responsibility for my own health. If you need help you can trust, and are not sure where to go for help, I think you not be disappointed to visit this office, and that you would find the expertise you need. Thanks Dr. Wank!",Dentist,30,3.901923077
Dr. Daniel E. Wank,Staff,0.8125,0.857199809,My visit was wonderful! The staff was polite and courteous. The Doctor saw me at my appointment time and gave me his full attention. I had a problem with my Dental Insurance and the office manager was helpful and solved my problem. I have had dental issues my whole life. Dr. Wank was extreemly knowledgable and took care of my tooth. I can now chew without pain. I can see why my coworkers at the office all recommend him.,Dentist,30,3.901923077
Dr. Daniel Goldin,Punctuality,1,0.897690516,"I love Dr. goldin. He's the best. The only thing is that he does not take my insurance anymore so, i may have to move on and I hate that.",Internist / Geriatrician,9,4.01146789
Dr. Daniel Goldin,Konwledge,1,0.003287826,Very good doctor and thorough like everyone else has said. Very impressive overall.,Internist / Geriatrician,9,4.01146789
Dr. Daniel Goldin,Staff,0.75,0.084616677,He is one of the last great younger primary care docs in NYC. I almost don't want others to find out about this secret great doc!,Internist / Geriatrician,9,4.01146789
Dr. Daniel J. Addanki,Punctuality,0,0.02873474,"What a terrible experience I had with Dr. Addanki. I initially tested positive for Hepatitis C, but rather than suggesting that I confirm the test with a follow-up, he instead told me that I had 10 years to live. When I met with a specialist, not only did he tell me that Dr. Addanki's statistics were horribly flawed, but that the test turned out to be a false positive. Dr. Addanki not only terrified my family and made me cry, but he also unnecessarily cost me hundreds of dollars out of pocket, as the specialist did not accept my insurance plan. I can only urge anyone looking for a doctor not to visit this incompetent man.",Internist / Geriatrician,7,3.961121495
Dr. Daniel J. Addanki,Staff,1,0.900781321,"A WONDERFUL TRIP TO THE DOCTORS OFFICE! Dr. Addanki was punctual with my appointment and as a business professional whose time is every bit as valuable as a Doctors, this was very important to me. He is a very gentle, kind man, who took his time and explained everything in detail so I could understand. I never felt rushed. Professionally he is confident, and laid out a clear and concise plan to help resolve my problem. I feel very comfortable with his knowledge, how he handled my visit, and would reccomend him as an internist. The office staff was great in accomodating me for an appointment and were efficient in office.",Internist / Geriatrician,7,3.961121495
Dr. Daniel O'Connor,Punctuality,0.5,0.079665671,Very attentive to detail. Looked at me and listened to me and didn't spend all of the visit writing. Sent me to therapy for my knee and I feel %100 better. The last docter told me I needed surgery just from looking at the MRI report and hardly touched my knee. Dr. O'Connor is one of a kind and an excellent doctor,Orthopedic Surgeon,6,3.976415094
Dr. Daniel O'Connor,Staff,1,0.07846108,Dr O 'Connor is the best . He is kind and caring and an excellent surgeon. I am prove of that.,Orthopedic Surgeon,6,3.976415094
Dr. Daniel Silvershein,Punctuality,1,0.074382397,"I saw this doctor for about a year, continously trying to get better treatment. I think he is young and not knowledgeable enough, he prescribed countless pain medications and misdiagnosed me. Every time i returned without relief from pain, he said ""ok, try this drug..."" I gave up on him after the 8th drug he asked me to try. He also was not very attentive to my concerns and seemed more rushed than i was, although i was coming to see him during my lunch breaks.",Internist / Geriatrician,6,3.992924528
Dr. Daniel Silvershein,Konwledge,1,0.122591457,"Never returns phone calls including test results. If he would change this, he would be one of the best.",Internist / Geriatrician,6,3.992924528
Dr. Daniel Silvershein,Staff,0.5,0.077626314,"Great doctor, knowledgeable, good nursing staff. Front desk can be slow sometimes in scheduling appointments, which frequently require a call-back, but the doctor and medical staff are top-rate",Internist / Geriatrician,6,3.992924528
Dr. Daniel Stein,Punctuality,1,0.931872019,"After having difficulty conceiving the old-fashion way, my wife's OBGYN referred us to Dr. Stein. From the moment we first met with him, Dr. Stein was calming and reassuring force. He walked us through our options, fully cognizant of the fact that we were real people facing uncertainties and anxieties in a difficult time. He told us the truth, didn't sugar over any of the hard facts, but never took away our hope and made us feel as if we had someone incredible pulling for us in our corner.
When we started the IVF process, and worked along side the team at RMA, it became clear to us that Dr. Stein's reassuring warm touch were not unique to him, but rather a prerequisite for working at RMA. To a person, the receptionist, billing folks, nurses, technicians, and physicians, were incredible and made us feel like we were in truly supported. For anyone who has experienced, or is considering IVF, it goes without saying but that support is a blessing of immeasurable value. Importantly, we worked with the same technicians and nurses every time we visited the office. Eliza, our nurse, is an angel: on our bad days, her confidence in us and our future truly saved us.
To make a long story short, we are fortunate and blessed to report that almost one year to the day that we first met Dr. Stein, we had a healthy baby boy. Literally, none of it would be possible without Dr. Stein and his team at RMA. While our journey to building a family was unique and not anything either of us planned for, I can truly say that we were blessed to have Dr. Stein, Eliza and the rest of their team at RMA in our lives. ",Gynecologist (OBGYN),29,4.120155039
Dr. Daniel Stein,Konwledge,1,0.10406067,"After 4 IVF treatments and 1 frozen embryo transfer all failed, I was at a loss. Heaven sent me an angel by the name of Dr. Stein. He and his staff are so compassionate and caring. I was reassured by Dr. Stein and his enthusiasm and gave frozen embryo transfer another try. I could feel his excitement for me when he informed me that I was 6 weeks and the heartbeat was perfect. I am 8 weeks now and Dr. Stein embraced me with a heartfelt hug and said, ""Congratulations! I'm so happy for you, you deserve this!"" He is a genuine man, doctor. I would highly recommend Dr. Stein. Guaranteed you'll be happy and comfortable with him.",Gynecologist (OBGYN),29,4.120155039
Dr. Daniel Stein,Staff,1,0.956944119,"I have been a patient of Dr. Stein's for almost 5 years now. I am forever grateful to him and his amazing team (especially his nurse Aliza) for helping me through this at times difficult journey that I am fortunate to say has had a beautiful outcome. Thanks to Dr. Stein, I have an amazing toddler and am now pregnant with our 2nd child.
What my husband and I have always appreciated most about Dr. Stein is that we always knew how committed he was to our case and how carefully he tailored my plan for the best possible outcome. But it goes beyond his brilliance as a doctor- he is a truly compassionate person who takes the time to listen to and understand his patients needs and concerns. On several occasions he personally called me when I was coping with some challenges along the way. The future is always filled with uncertainty, but I feel calm and smile knowing without a doubt that Dr. Stein will be there to continue to help us build our family! My heart is filled with joy and appreciation as I count down the days until we get to meet our 2nd child!",Gynecologist (OBGYN),29,4.120155039
Dr. Darren R. Lebl,Punctuality,0.6,0.919069352,"Almost two years ago, I had been suffering from chronic sciatic pain in my left leg due to a herniated lumbar disc at L4/L5. In highschool I did a lot of extreme sports, and I finally realized a long-term effect. It began to adversely affect my life, and I was no longer myself. I had visited many spine specialists and heard varying opinions, but finally decided I should go to NYC for HSS as my condition was not getting any better. I had done a lot of research on HSS spine surgeons and decided that I wanted to see Dr. Lebl based on his background and success stories. I could not be happier that I did and couldn't have predicted that he would basically save me from paralysis. After getting an MRI, he reviewed my condition and noted that my disk at L4/L5 had a significant herniation and that i would be a candidate for surgery. I decided that I wanted to avoid it for a long as possible and would try a steroid injection. About 2.5 weeks after the injection, I bent over to tie my shoe, stood up, and immediately collapsed in the worst pain of my life. It felt like someone put my entire left leg in a furnace. My leg was 90% paralyzed almost immediately, and I went to the ER within a few hours. After admission, I got an urgent MRI and discovered that my disc had ruptured and began collapsing my spinal cord, diagnosed as what is considered early cauda equina syndrome. Dr. Lebl was right, and I should have had the surgery. Amazingly, he had heard I was in the ER through his PA I was in touch with, and he sent someone to see me and get me transferred to HSS. The next morning I was at HSS, and he gracefully found a way to get me on the surgical schedule as an emergency add-on procedure. He had me out of the OR by the evening. I was then out of the hospital in about two days, and after almost a year I've seen a full recovery. If it weren't for Dr. Lebl, and if I didn't have a skilled surgeon familiar with my condition willing to operate on me in less than 24 hours, I probably wouldn't be walking normally today and my life would never be the same. Dr. Lebl is a life saver, and he is an amazing spine surgeon... One of the best in NYC. If you have a back issue, he is worth the wait to see. I would highly recommend him to anyone, and I am forever grateful that he is my doctor.",Orthopedic Surgeon,8,4.025462963
Dr. Darren R. Lebl,Konwledge,0,0.727615514,I chose to have dr. Lebl do a spinal fusion and lamenectomy and it was the worst decision I have made. I had very bad sciatic pain and he set up highly unreasonable expectations with how quickly I would feel better. However my chief complaint is that you are allowed only one follow up visit. Since the surgery did not relieve my symptoms I feel that there should be more after surgery care. I would never recommend this doctor or this hospital to anyone. Worst experience with a October I have ever had. ,Orthopedic Surgeon,8,4.025462963
Dr. Darren R. Lebl,Staff,0.5,0.895522802,The. Best doctor to check out my back.... His bed side manners were great treated me like a human. Not a dollar sing......thank you DR Darren. Lebl. Mrs. Lisa szwed..............,Orthopedic Surgeon,8,4.025462963
Dr. Darrick E. Antell,Punctuality,0.714285714,0.681261776,"Horrible ! He mislead me on 2 different subjewestbrookcts.He called it ""miscommunication"" but both lead to money in his pocket and one thing I spoke to him about 5 times and he told me I had only one option and later,after I was unhappy,told me I had others.Long story but I do not trust him at all !!! Beware !!!","Plastic / Cosmetic Surgeon, Physician",59,4.289308176
Dr. Darrick E. Antell,Konwledge,0.923076923,0.905988033,"As I researched Dr. Antell, I saw that not only did he have the experience and credentials I was looking for, but also used the word ""whisper surgery"" to describe the results. I knew he was for me. I did not want an eraser taken to my face, I just wanted more of the real me to be revealed, which after 58 years, was slowly being occluded by sagging jowls, fat deposits under my eyes and hooded eyes. I had never had any work done on my face up to this surgery. Total care all-around, with that ever-important human touch, compassion and firm understanding on both sides of the plan of action and outcome. This team (including the gifted anesthesiologist who held me in his competent care for almost 4 hours) is incredible. Many exclaim,"" Hey you really look great!""...not even knowing I had surgery, just that I look so refreshed. Now, that's the miracle of Dr. Antell's ""whisper"". I would highly reccomend Dr. Antell and his team to anyone looking for the best in the business.","Plastic / Cosmetic Surgeon, Physician",59,4.289308176
Dr. Darrick E. Antell,Staff,0.769230769,0.885169821,"Three weeks after my tummy tuck, I could not be happier. Everything has been so much easier than I expected. Dr. Antell and his entire staff could not be more pleasant or helpful. I am so glad I went with this practice!","Plastic / Cosmetic Surgeon, Physician",59,4.289308176
Dr. Dave J. Ores,Punctuality,0.636363636,0.292074383,"I was told by someone to find him, that he could help me. I located him and told him briefly on the phone what I needed. He had me come in, asked me pertinent questions, and agreed to take me on as a patient. Just those few visits meant the world to me and I needed his care. I was able to move on. I wasn't from NYC and made it a point in my travels to see him as often as I could till it was time to go back home. Just having someone who believes in you and treats you like a human being, made me stronger and in the end, I did bounce back. I can only say one thing about him, he is a very smart and compassionate individual.",Family Doctor / G.P.,13,4.047964602
Dr. Dave J. Ores,Staff,0.5,0.167073165,very dirty... Tatoo removal but so gross i woudn't even get a tatoo there! disgusting!,Family Doctor / G.P.,13,4.047964602
Dr. David Angelillo,Punctuality,0,0.141064236,If you have an orthopedic problem this is the doctor to see. ,Orthopedic Surgeon,5,4.045238095
Dr. David Angelillo,Konwledge,1,0.119751513,Dr. Angelillo is the best. I went to him for a second opinion. So glad I did.,Orthopedic Surgeon,5,4.045238095
Dr. David Angelillo,Staff,0.666666667,0.836202164,5/5 stars for this doctor. He fixed my shoulder. He is excellent. ,Orthopedic Surgeon,5,4.045238095
Dr. David H. Baskin,Staff,1,0.401166688,Excellent doctor. Very knowledgeable. Always listens to you. I went to him twice and results were great. I highly recommend him to others.,Internist / Geriatrician,5,4
Dr. David H. Fields,Punctuality,0.5,0.279477144,"David Fields has been my doctor for close to thirty years. He has seen me through a tricky delivery, a miscarriage, two premature labors and more. I know that without him, I would not have had the three healthy babies I did. That is why I continue to travel into NYC to see him, even though I have not lived there for decades. Over the years, he has shown himself to be many things: a compassionate advocate, a comforting presence, a thoughtful scientist, an astute clinician. He has always been available and responsive and has never disappointed me. I have an immense amount of respect for him, his intellect and his skill and I have a compete trust in his clinical judgment. As an aside and on a practical note, I know some have mentioned that Dr. Fields does not accept insurance. I have never had an insurance company refuse to reimburse me according to my policy when I have submitted his paid bill.",Gynecologist (OBGYN),24,4.189516129
Dr. David H. Fields,Konwledge,1,0.072409375,"I highly recommend Dr. Fields. I have known him since the day I was born, as he delivered me, and he has been my OBGYN for the last few years. While he does not take insurance and is not inexpensive, the care and attentiveness he provides is unparalleled. He is absolutely worth it for women of all ages.",Gynecologist (OBGYN),24,4.189516129
Dr. David H. Fields,Staff,0.952380952,0.474147647,"Not only is Dr. Fields a superlative gyn, he is also, eponymously, expertly informed in other medical fields and evaluates and administers to his patients on an integrative basis. Because appointments with Dr. Fields are dialogues in which he explains the medical issues and answers questions, my complete confidence in his recommendations and care is coupled with an understanding of them. He devotes as much time to each patient as she needs and actually takes phone calls, yet still remains on schedule. I cannot recommend Dr. Fields highly enough. Although he does not take insurance, I cannot imagine a more worthy expenditure than my health, wellbeing and peace of mind. ",Gynecologist (OBGYN),24,4.189516129
Dr. David Hidalgo,Punctuality,0.5,0.697375255,"Just had a follow up with Dr Layliev, who met me and my son in the ER after my little one had a fall and needed sutures. He was so comforting and had us out quickly. Sutures are out and his chin is healing nicely. Thank you Dr. Layliev.","Plastic / Cosmetic Surgeon, Physician",102,4.397277228
Dr. David Hidalgo,Konwledge,0.890410959,0.903100161,"It has been 3 weeks since my surgery with Dr. Hidalgo, and I could not be happier with the result! I had my initial breast augmentation as a young woman and to put it simple, I did not understand what I was getting myself into. Shortly after my initial breast augmentation I developed capsular contracture of the left breast which left me not only in pain, but also deformed. As a woman in her younger 20's, one can only imagine the mental and emotional strain I experienced due to this 'situation'. I was embarrassed to see and to be seen. It took me almost 10 years to find another surgeon I was able to trust. From my initial meeting with Dr. Hidalgo, it was easy to see why so many before me had entrusted their care with him. He is kind, compassionate, and reassuring. He was able to answer all questions I had whilst providing a realistic expectation. Christopher, Diane, and Ashley made scheduling appointments easy to say the least. They also offered reassurance and queried the doctor as well as the nurses whenever they were unable to offer answers or advice. Nurses MJ and Abi made me feel comfortable from the start, as well as recovery room nurse Amber and CST Ashley at the end. Dr. Marn, the anesthesiologist, was informative as well as compassionate. I went home from surgery without any post op nausea (which I have had issues with in the past). There was little pain experienced post operatively. The paperwork, website, and preoperative conversations had helped to put everything I experienced into prospective. There were no surprises along the way, which I can especially appreciate as a health care professional myself. Thank you for my newfound confidence. It's an entirely new experience to look in the mirror and to be pleased with what I see. I can say THANK YOU again, but a million ""thank yous"" simply would not be enough to show appreciation for what Dr. Hidalgo and his A+ team has done for me. ","Plastic / Cosmetic Surgeon, Physician",102,4.397277228
Dr. David Hidalgo,Staff,1,0.815136603,Dr. Hidalgo and his staff are true professionals...very warm and caring . Dr Hidalgo's work is of a perfectionist and I would come back to him in the future. Dr Hidalgo has Wonderful bed side manner and took the time to answer all my questions.,"Plastic / Cosmetic Surgeon, Physician",102,4.397277228
Dr. David L. Keefe,Punctuality,1,0.130664102,"Dr. Keefe wasn't my primary RE, but I saw him several times during morning ultrasounds. He was always friendly, gentle, and spent extra time answering questions. He correctly judged my dose and adjusted it when necessary. I looked into his research, and he is very well published and cited. I always look forward to having him be the attending of the day (the other REs at NYU are excellent as well).",Gynecologist (OBGYN),5,4.045238095
Dr. David L. Keefe,Staff,1,0.11245072,"Dr. Keefe cares very much about his patients. Medically he is fantastic, personally he is even better - he is kind (as is his staff) and listens to patients concerns and answers all questions too. My 4th and last RE.",Gynecologist (OBGYN),5,4.045238095
Dr. David M. Dines,Punctuality,0.75,0.128282751,This man advised me to get surgery and it was the worst mistake of my life I can’t even lift my arm over my head on my three month appt he told me I was so f***** up that he did all he can do yes he told me 4 times my shoulder was f******* is this bedside manner ? Find another doctor,Orthopedic Surgeon,7,4.046728972
Dr. David M. Dines,Konwledge,1,0.014677394,I had two surgeries performed by Dr Dines within a few months. I was referred to him after another couldn't find the problem. Both surgeries couldn't have gone better. Dr. Dines is one of the most caring decent doctors I have ever met. Even my mother who is a nurse couldn't said she'd never met a doctor with as great a beside manner.,Orthopedic Surgeon,7,4.046728972
Dr. David M. Dines,Staff,1,0.218455705,"I had 2 shoulder operations performed by doctor david dines,he is by far the one of the best shoulder surgions around, my shoulder is feeling great ,very knowledgable,great follow up and very competent staff.",Orthopedic Surgeon,7,4.046728972
Dr. David M. Matusz,Punctuality,0.75,0.940898728,"Young, knowledgable. He spent a lot of time with me and my husband.",Orthopedic Surgeon,13,4.044247788
Dr. David M. Matusz,Konwledge,0.5,0.771390247,"Saw this doctor on a follow up after surgery. He was extremely rude and uncaring! He wandered in and out of the exam room chatting with his assistant and discussing their lunch. Removed my stitches, without even a heads up as to what he would be doing. Actually ripped the stitches out, which made me have more of a scar than necessary. Extremely unprofessional and in my opinion- a disgrace to Dr. O'Leary's office and it's staff!",Orthopedic Surgeon,13,4.044247788
Dr. David M. Matusz,Staff,1,0.853448525,"the most caring and concerned Doctor totally committed to his patients well being. A gifted surgeon, just aqn outstanding human being",Orthopedic Surgeon,13,4.044247788
Dr. David Mayman,Punctuality,0.857142857,0.923348848,"I traveled 3 hours to see him and wouldn't care if it had been cross country. I had 2 hips replaced on the same day and am writing now from a ski trip 10 months later. Incredibly skilled, good patient manner, and responsive to calls or emails--incredibly so. I can't rave enough. If you need consult or joint replacement, this is your guy. Plan to do your rehab portion, and together with his assistance you have a chance for a new start--don't put it off!",Orthopedic Surgeon,11,3.972972973
Dr. David Mayman,Konwledge,0.333333333,0.192218748,Very Profesional; Very skilled in computer assisted surgery; I had a very quick recovery from hip surgery.,Orthopedic Surgeon,11,3.972972973
Dr. David Mayman,Staff,1,0.077953827,Dr. Mayman did my torn meniscus. I loved the staff at HSS and thought he did a wonderful job. ,Orthopedic Surgeon,11,3.972972973
Dr. David S. Feldman,Punctuality,0.625,0.934652272,Dr Feldman is my HERO he haves SAVED my LIFE he’s an amazing doctor and a amazing person inside and out!!! I CANT SAY ENOUGH !! ,Orthopedic Surgeon,14,4.100877193
Dr. David S. Feldman,Konwledge,1,0.100667599,"I CAN'T SAY ENOUGH in this review, about how Dr. Feldman has changed our lives!!!
When we brought my daughter Maddie to him, she was 14, and had an 83 degree curve in her back.
Dr Feldman's caring and compassionate ways, were only compounded by his knowledge and skill! Now Maddie is NEW person! Full of confidence and so hopeful with life & more beautiful than ever!
Now Maddie wants to volunteer at Paley's now, so she can help others! Thank You Dr Feldman for making my baby girl whole again!
",Orthopedic Surgeon,14,4.100877193
Dr. David S. Feldman,Staff,1,0.449720038,"My child was treated for a spinal condition by Dr. Feldman. Dr. Feldman is an incredible human being who treated my child with compassionate care. It is because of Dr. Feldman that my child's condition improved significantly. Although his practice is very busy, he was always patient and calmly took the time to answer questions and soothe concerns. They don't make doctors like this anymore. Dr. Feldman is in the top five of every human being that I have ever met.",Orthopedic Surgeon,14,4.100877193
Dr. David W. Altchek,Punctuality,0.916666667,0.924125342,"dr altchek has perform surgeries on my son twice and me twice . his expertise and professioal attitude are the best . he has been helpful as a resourse for other med situation for me and my family. there is no one better than he and his staff ;nurses ,pa. office staff etc",Orthopedic Surgeon,20,3.964583333
Dr. David W. Altchek,Konwledge,0.833333333,0.28564501,"i've had two knee surgeries in the past with other doctors. dr altchek was highly recommended by a doctor friend of mine. i wish i had him for my other two surgeries. i walked out of the hospital in far less pain than when i walked in. i think he's an amazing doctor with an amazing staff. it's only been a week since the surgery, but i can feel my knee recovering well and my rehab is going better than i could have hoped for. i also need shoulder work and i wouldn't go to anyone else.",Orthopedic Surgeon,20,3.964583333
Dr. David W. Altchek,Staff,1,0.109012217,i had never had surgery of any kind before tearing my tendon that connects the chest muscle to shoulder.. dr. altchek was outstanding. my shoulder a year later has never felt better. i would absolutely recommend him.,Orthopedic Surgeon,20,3.964583333
Dr. David Zimmerman,Punctuality,1,0.178264395,Excellent diagnostician. Correctly identified & treated what others missed or mis-diagnosed. Thoughtful.,Family Doctor / G.P.,4,4.028076923
Dr. David Zimmerman,Staff,1,0.0227272,"Dr. Zimmerman is an excellent diagnostician. Both my husband and I have used him for over 30 years. He listens to his patients, is kind and is thorough.",Family Doctor / G.P.,4,4.028076923
Dr. Deborah J. Coady,Punctuality,0.9,0.852232188,"I telephoned and left a message requesting a call back to schedule and appt. They never returned the call. I called again and learned that Dr. Coady is not accepting new patients. I asked about her partners. They do not accept any insurance. OK, how much is an office visit. $1200. The same as Goldstein. That is a huge amount of money with no guarantees. If I were guaranteed to come out with a clean slate, I would hit the home equity account. I feel that they are taking advantage of women with vulvadynia. It's not like getting a facelift or a tummy tuck, it's a very real medical problem and the costs prevent many women (including me) from getting treatment.",Gynecologist (OBGYN),16,4.009310345
Dr. Deborah J. Coady,Konwledge,0,0.12107033,Dr. Coady kept suggesting the same things to me even after they made me worse.,Gynecologist (OBGYN),16,4.009310345
Dr. Deborah J. Coady,Staff,0.8,0.191750809,"Extremely knowledgeable and helpful doctor in every way. Concerned and interested in your total health. Very responsive to all questions. Very nice, warm, and caring.",Gynecologist (OBGYN),16,4.009310345
Dr. Dennis F. Fabian,Punctuality,0.4,0.744182295,Dr. Fabian performed emergency surgery on me in 92. I had a broken femur from a car accident. He put a metal rod inside the bone which I had him remove a year later. My leg healed completely.Thanks Dr. Fabian,Orthopedic Surgeon,5,4.033333333
Dr. Dennis H. Lee,Punctuality,1,0.538789896,"I went to Dr. Lee to get my wisdom teeth out. Dr. Lee came in, shook my hand, and then really took the time to explain everything to me. At all times, he was very reassuring and definitely made you calmer. The right side was taken out first and I just had my left side taken out 2 weeks ago. Both times, I did it with just local anesthesia. Both times, the recovery process was painfree. I didn't even take any of the codeine painkiller that was prescribed. I did take 5 days worth of the antibiotics he prescribed though. On the evening after the extraction, the office first personally called to see if I was ok. Then at night, I got a personal e-mail from Dr. Lee asking if I was ok. That's a first for any of my docs. A week after the extraction, you go back to him just to check up on how the healing is. All the times I went, there was minimal waiting time since they schedule ppl well. That leads to somewhat long appointment times though (booking is at least 1 month)",Dentist,3,4.029126214
Dr. Dennis H. Lee,Konwledge,1,0.010785821,"He is an extremely nice dentist. He took two of my rear molars out,and I did not feel a thing. I only felt a slight amount of pressure. His staff even called afterwards to make sure everything was ok.",Dentist,3,4.029126214
Dr. Dennis H. Lee,Staff,0,0.110019892,Very attentive and knowledgable. Very professional staff. Dr. Lee even follow up with a personal email to see if you're doing okay.,Dentist,3,4.029126214
Dr. Denny Martin,Punctuality,1,0.009271994,"Dr. Martin is a really good Doctor, his knowledge and expertise is soothing.",Family Doctor / G.P.,4,4.038461538
Dr. Denny Martin,Staff,0.666666667,0.21344795,Dr. Martinis simply the best doctor I have ever encountered. His level of expertise phenomenal.,Family Doctor / G.P.,4,4.038461538
